page,word
1,dom
1,casmurro
1,texto
1,de
1,referência
1,obras
1,completas
1,de
1,machado
1,de
1,assis
1,vol
1,i
1,nova
1,aguilar
1,rio
1,de
1,janeiro
1,1994
1,publicado
1,originalmente
1,pela
1,editora
1,garnier
1,rio
1,de
1,janeiro
1,1899
1,capítulo
1,primeiro
1,do
1,título
1,uma
1,noite
1,destas
1,vindo
1,da
1,cidade
1,para
1,o
1,engenho
1,novo
1,encontrei
1,no
1,trem
1,da
1,central
1,um
1,rapaz
1,aqui
1,do
1,bairro
1,que
1,eu
1,conheço
1,de
1,vista
1,e
1,de
1,chapéu
1,cumprimentou
1,me
1,sentou
1,se
1,ao
1,pé
1,de
1,mim
1,falou
1,da
1,lua
1,e
1,dos
1,ministros
1,e
1,acabou
1,recitando
1,me
1,versos
1,a
1,viagem
1,era
1,curta
1,e
1,os
1,versos
1,pode
1,ser
1,que
1,não
1,fossem
1,inteiramente
1,maus
1,sucedeu
1,porém
1,que
1,como
1,eu
1,estava
1,cansado
1,fechei
1,os
1,olhos
1,três
1,ou
1,quatro
1,vezes
1,tanto
1,bastou
1,para
1,que
1,ele
1,interrompesse
1,a
1,leitura
1,e
1,metesse
1,os
1,versos
1,no
1,bolso
1,continue
1,disse
1,eu
1,acordando
1,já
1,acabei
1,murmurou
1,ele
1,são
1,muito
1,bonitos
1,vi
1,lhe
1,fazer
1,um
1,gesto
1,para
1,tirá
1,los
1,outra
1,vez
1,do
1,bolso
1,mas
1,não
1,passou
1,do
1,gesto
1,estava
1,amuado
1,no
1,dia
1,seguinte
1,entrou
1,a
1,dizer
1,de
1,mim
1,nomes
1,feios
1,e
1,acabou
1,alcunhando
1,me
1,dom
1,casmurro
1,os
1,vizinhos
1,que
1,não
1,gostam
1,dos
1,meus
1,hábitos
1,reclusos
1,e
1,calados
1,deram
1,curso
1,à
1,alcunha
1,que
1,afinal
1,pegou
1,nem
1,por
1,isso
1,me
1,zanguei
1,contei
1,a
1,anedota
1,aos
1,amigos
1,da
1,cidade
1,e
1,eles
1,por
1,graça
1,chamam
1,me
1,assim
1,alguns
1,em
1,bilhetes
1,dom
1,casmurro
1,domingo
1,vou
1,jantar
1,com
1,você
1,vou
1,para
1,petrópolis
1,dom
1,casmurro
1,a
1,casa
1,é
1,a
1,mesma
1,da
1,renânia
1,vê
1,se
1,deixas
1,essa
1,caverna
1,do
1,engenho
1,novo
1,e
1,vai
1,lá
1,passar
1,uns
1,quinze
1,dias
1,comigo
1,meu
1,caro
1,dom
1,casmurro
1,não
1,cuide
1,que
1,o
1,dispenso
1,do
1,teatro
1,amanhã
1,venha
1,e
1,dormirá
1,aqui
1,na
1,cidade
1,dou
1,lhe
1,camarote
1,dou
1,lhe
1,chá
1,dou
1,lhe
1,cama
1,só
1,não
1,lhe
1,dou
1,moça
1,não
1,consultes
1,dicionários
1,casmurro
1,não
1,está
1,aqui
1,no
1,sentido
1,que
1,eles
1,lhe
1,dão
1,mas
1,no
1,que
1,lhe
1,pôs
1,o
1,vulgo
1,de
1,homem
1,calado
1,e
1,metido
1,consigo
1,dom
1,veio
1,por
1,ironia
1,para
1,atribuir
1,me
1,fumos
1,de
1,fidalgo
1,tudo
1,por
1,estar
1,cochilando
1,também
1,não
1,achei
1,melhor
1,título
1,para
1,a
1,minha
1,narração
1,se
1,não
1,tiver
1,outro
1,daqui
1,até
1,ao
1,fim
1,do
1,livro
1,vai
1,este
1,mesmo
1,o
1,meu
1,poeta
1,do
1,trem
1,ficará
1,sabendo
1,que
1,não
1,lhe
1,guardo
1,rancor
1,e
1,com
1,pequeno
1,esforço
1,sendo
1,o
1,título
1,seu
1,poderá
1,cuidar
1,que
1,a
1,obra
1,é
1,sua
1,há
1,livros
1,que
1,apenas
1,terão
1,isso
1,dos
1,seus
1,autores
1,alguns
1,nem
1,tanto
1,capítulo
1,ii
1,do
1,livro
2,agora
2,que
2,expliquei
2,o
2,título
2,passo
2,a
2,escrever
2,o
2,livro
2,antes
2,disso
2,porém
2,digamos
2,os
2,motivos
2,que
2,me
2,põem
2,a
2,pena
2,na
2,mão
2,vivo
2,só
2,com
2,um
2,criado
2,a
2,casa
2,em
2,que
2,moro
2,é
2,própria
2,fi
2,la
2,construir
2,de
2,propósito
2,levado
2,de
2,um
2,desejo
2,tão
2,particular
2,que
2,me
2,vexa
2,imprimi
2,lo
2,mas
2,vá
2,lá
2,um
2,dia
2,há
2,bastantes
2,anos
2,lembrou
2,me
2,reproduzir
2,no
2,engenho
2,novo
2,a
2,casa
2,em
2,que
2,me
2,criei
2,na
2,antiga
2,rua
2,de
2,mata
2,cavalos
2,dando
2,lhe
2,o
2,mesmo
2,aspecto
2,e
2,economia
2,daquela
2,outra
2,que
2,desapareceu
2,construtor
2,e
2,pintor
2,entenderam
2,bem
2,as
2,indicações
2,que
2,lhes
2,fiz
2,é
2,o
2,mesmo
2,prédio
2,assobradado
2,três
2,janelas
2,de
2,frente
2,varanda
2,ao
2,fundo
2,as
2,mesmas
2,alcovas
2,e
2,salas
2,na
2,principal
2,destas
2,a
2,pintura
2,do
2,teto
2,e
2,das
2,paredes
2,é
2,mais
2,ou
2,menos
2,igual
2,umas
2,grinaldas
2,de
2,flores
2,miúdas
2,e
2,grandes
2,pássaros
2,que
2,as
2,tomam
2,nos
2,bicos
2,de
2,espaço
2,a
2,espaço
2,nos
2,quatro
2,cantos
2,do
2,teto
2,as
2,figuras
2,das
2,estações
2,e
2,ao
2,centro
2,das
2,paredes
2,os
2,medalhões
2,de
2,césar
2,augusto
2,nero
2,e
2,massinissa
2,com
2,os
2,nomes
2,por
2,baixo
2,não
2,alcanço
2,a
2,razão
2,de
2,tais
2,personagens
2,quando
2,fomos
2,para
2,a
2,casa
2,de
2,mata
2,cavalos
2,já
2,ela
2,estava
2,assim
2,decorada
2,vinha
2,do
2,decênio
2,anterior
2,naturalmente
2,era
2,gosto
2,do
2,tempo
2,meter
2,sabor
2,clássico
2,e
2,figuras
2,antigas
2,em
2,pinturas
2,americanas
2,o
2,mais
2,é
2,também
2,análogo
2,e
2,parecido
2,tenho
2,chacarinha
2,flores
2,legume
2,uma
2,casuarina
2,um
2,poço
2,e
2,lavadouro
2,uso
2,louça
2,velha
2,e
2,mobília
2,velha
2,enfim
2,agora
2,como
2,outrora
2,há
2,aqui
2,o
2,mesmo
2,contraste
2,da
2,vida
2,interior
2,que
2,é
2,pacata
2,com
2,a
2,exterior
2,que
2,é
2,ruidosa
2,o
2,meu
2,fim
2,evidente
2,era
2,atar
2,as
2,duas
2,pontas
2,da
2,vida
2,e
2,restaurar
2,na
2,velhice
2,a
2,adolescência
2,pois
2,senhor
2,não
2,consegui
2,recompor
2,o
2,que
2,foi
2,nem
2,o
2,que
2,fui
2,em
2,tudo
2,se
2,o
2,rosto
2,é
2,igual
2,a
2,fisionomia
2,é
2,diferente
2,se
2,só
2,me
2,faltassem
2,os
2,outros
2,vá
2,um
2,homem
2,consola
2,se
2,mais
2,ou
2,menos
2,das
2,pessoas
2,que
2,perde
2,mais
2,falto
2,eu
2,mesmo
2,e
2,esta
2,lacuna
2,é
2,tudo
2,o
2,que
2,aqui
2,está
2,é
2,mal
2,comparando
2,semelhante
2,à
2,pintura
2,que
2,se
2,põe
2,na
2,barba
2,e
2,nos
2,cabelos
2,e
2,que
2,apenas
2,conserva
2,o
2,hábito
2,externo
2,como
2,se
2,diz
2,nas
2,autópsias
2,o
2,interno
2,não
2,agüenta
2,tinta
2,uma
2,certidão
2,que
2,me
2,desse
2,vinte
2,anos
2,de
2,idade
2,poderia
2,enganar
2,os
2,estranhos
2,como
2,todos
2,os
2,documentos
2,falsos
2,mas
2,não
2,a
2,mim
2,os
2,amigos
2,que
2,me
2,restam
2,são
2,de
2,data
2,recente
2,todos
2,os
2,antigos
2,foram
2,estudar
2,a
2,geologia
2,dos
2,campos
2,santos
2,quanto
2,às
2,amigas
2,algumas
2,datam
2,de
2,quinze
2,anos
2,outras
2,de
2,menos
2,e
2,quase
2,todas
2,crêem
2,na
2,mocidade
2,duas
2,ou
2,três
2,fariam
2,crer
2,nela
2,aos
2,outros
2,mas
2,a
2,língua
2,que
2,falam
2,obriga
2,muita
2,vez
2,a
2,consultar
2,os
2,dicionários
2,e
2,tal
2,freqüência
2,é
2,cansativa
2,entretanto
2,vida
2,diferente
2,não
2,quer
2,dizer
2,vida
2,pior
2,é
2,outra
2,coisa
2,a
2,certos
2,respeitos
2,aquela
2,vida
2,antiga
2,aparece
2,me
2,despida
2,de
2,muitos
2,encantos
2,que
2,lhe
2,achei
2,mas
2,é
2,também
2,exato
2,que
2,perdeu
2,muito
2,espinho
2,que
2,a
2,fez
2,molesta
2,e
2,de
2,memória
2,conservo
2,alguma
2,recordação
2,doce
2,e
2,feiticeira
2,em
2,verdade
2,pouco
2,apareço
2,e
2,menos
2,falo
2,distrações
2,raras
2,o
2,mais
2,do
2,tempo
2,é
2,gasto
2,em
2,hortar
2,jardinar
2,e
2,ler
2,como
2,bem
2,e
2,não
2,durmo
2,mal
2,ora
2,como
2,tudo
2,cansa
2,esta
2,monotonia
2,acabou
2,por
2,exaurir
2,me
2,também
2,quis
2,variar
2,e
2,lembrou
2,me
2,escrever
2,um
2,livro
2,jurisprudência
2,filosofia
2,e
2,política
2,acudiram
2,me
2,mas
2,não
2,me
2,acudiram
2,as
2,forças
2,necessárias
2,depois
2,pensei
2,em
2,fazer
2,uma
2,história
2,dos
2,subúrbios
2,menos
2,seca
2,que
2,as
2,memórias
2,do
2,padre
2,luís
2,gonçalves
2,dos
2,santos
2,relativas
2,à
2,cidade
2,era
2,obra
2,modesta
2,mas
2,exigia
2,documentos
2,e
2,datas
2,como
2,preliminares
2,tudo
2,árido
2,e
2,longo
2,foi
2,então
2,que
2,os
2,bustos
2,pintados
2,nas
2,paredes
2,entraram
2,a
2,falar
2,me
2,e
2,a
2,dizer
2,me
2,que
2,uma
2,vez
2,que
2,eles
2,não
2,alcançavam
2,reconstituir
2,me
2,os
2,tempos
2,idos
2,pegasse
2,da
2,pena
2,e
2,contasse
2,alguns
2,talvez
2,a
2,narração
2,me
2,desse
2,a
2,ilusão
2,e
2,as
2,sombras
2,viessem
2,perpassar
2,ligeiras
2,como
2,ao
2,poeta
2,não
2,o
2,do
2,trem
2,mas
2,o
2,do
2,fausto
2,aí
2,vindes
2,outra
2,vez
2,inquietas
2,sombras
2,fiquei
2,tão
2,alegre
2,com
2,esta
2,idéia
2,que
2,ainda
2,agora
2,me
2,treme
2,a
2,pena
2,na
2,mão
2,sim
2,nero
2,augusto
2,massinissa
2,e
2,tu
2,grande
2,césar
2,que
2,me
2,incitas
2,a
2,fazer
2,os
2,meus
2,comentários
2,agradeço
2,vos
2,o
2,conselho
2,e
2,vou
2,deitar
2,ao
2,papel
2,as
2,reminiscências
2,que
2,me
2,vierem
2,vindo
2,deste
2,modo
2,viverei
2,o
2,que
2,vivi
2,e
2,assentarei
2,a
2,mão
2,para
2,alguma
2,obra
2,de
2,maior
2,tomo
2,eia
2,comecemos
2,a
2,evocação
2,por
2,uma
2,célebre
2,tarde
2,de
2,novembro
2,que
2,nunca
2,me
2,esqueceu
2,tive
2,outras
2,muitas
2,melhores
2,e
2,piores
2,mas
3,aquela
3,nunca
3,se
3,me
3,apagou
3,do
3,espírito
3,é
3,o
3,que
3,vais
3,entender
3,lendo
3,capítulo
3,iii
3,a
3,denúncia
3,ia
3,a
3,entrar
3,na
3,sala
3,de
3,visitas
3,quando
3,ouvi
3,proferir
3,o
3,meu
3,nome
3,e
3,escondi
3,me
3,atrás
3,da
3,porta
3,a
3,casa
3,era
3,a
3,da
3,rua
3,de
3,mata
3,cavalos
3,o
3,mês
3,novembro
3,o
3,ano
3,é
3,que
3,é
3,um
3,tanto
3,remoto
3,mas
3,eu
3,não
3,hei
3,de
3,trocar
3,as
3,datas
3,à
3,minha
3,vida
3,só
3,para
3,agradar
3,às
3,pessoas
3,que
3,não
3,amam
3,histórias
3,velhas
3,o
3,ano
3,era
3,de
3,1857
3,d
3,glória
3,a
3,senhora
3,persiste
3,na
3,idéia
3,de
3,meter
3,o
3,nosso
3,bentinho
3,no
3,seminário
3,é
3,mais
3,que
3,tempo
3,e
3,já
3,agora
3,pode
3,haver
3,uma
3,dificuldade
3,que
3,dificuldade
3,uma
3,grande
3,dificuldade
3,minha
3,mãe
3,quis
3,saber
3,o
3,que
3,era
3,josé
3,dias
3,depois
3,de
3,alguns
3,instantes
3,de
3,concentração
3,veio
3,ver
3,se
3,havia
3,alguém
3,no
3,corredor
3,não
3,deu
3,por
3,mim
3,voltou
3,e
3,abafando
3,a
3,voz
3,disse
3,que
3,a
3,dificuldade
3,estava
3,na
3,casa
3,ao
3,pé
3,a
3,gente
3,do
3,pádua
3,a
3,gente
3,do
3,pádua
3,há
3,algum
3,tempo
3,estou
3,para
3,lhe
3,dizer
3,isto
3,mas
3,não
3,me
3,atrevia
3,não
3,me
3,parece
3,bonito
3,que
3,o
3,nosso
3,bentinho
3,ande
3,metido
3,nos
3,cantos
3,com
3,a
3,filha
3,do
3,tartaruga
3,e
3,esta
3,é
3,a
3,dificuldade
3,porque
3,se
3,eles
3,pegam
3,de
3,namoro
3,a
3,senhora
3,terá
3,muito
3,que
3,lutar
3,para
3,separá
3,los
3,não
3,acho
3,metidos
3,nos
3,cantos
3,é
3,um
3,modo
3,de
3,falar
3,em
3,segredinhos
3,sempre
3,juntos
3,bentinho
3,quase
3,não
3,sai
3,de
3,lá
3,a
3,pequena
3,é
3,uma
3,desmiolada
3,o
3,pai
3,faz
3,que
3,não
3,vê
3,tomara
3,ele
3,que
3,as
3,coisas
3,corressem
3,de
3,maneira
3,que
3,compreendo
3,o
3,seu
3,gesto
3,a
3,senhora
3,não
3,crê
3,em
3,tais
3,cálculos
3,parece
3,lhe
3,que
3,todos
3,têm
3,a
3,alma
3,cândida
3,mas
3,sr
3,josé
3,dias
3,tenho
3,visto
3,os
3,pequenos
3,brincando
3,e
3,nunca
3,vi
3,nada
3,que
3,faça
3,desconfiar
3,basta
3,a
3,idade
3,bentinho
3,mal
3,tem
3,quinze
3,anos
3,capitu
3,fez
3,quatorze
3,à
3,semana
3,passada
3,são
3,dois
3,criançolas
3,não
3,se
3,esqueça
3,que
3,foram
3,criados
3,juntos
3,desde
3,aquela
3,grande
